The data shown here is provided by Statistics Canada from the 2016 Census as a custom data order for the City of Vancouver using the City's 22 local planning areas,,,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2016, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2016,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
1768,            Igbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1769,            Lingala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
1770,            Rundi (Kirundi),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,40
1771,            Kinyarwanda (Rwanda),0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30
1772,            Shona,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,20
1773,            Swahili,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,5,0,0,15,90
1774,            Wolof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1775,            Yoruba,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,20
1776,"            Niger-Congo languages, n.i.e.",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,85
1777,          Nilo-Saharan languages,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,20,55
1778,            Dinka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,15
1779,"            Nilo-Saharan languages, n.i.e.",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40
1780,          Sign languages,0,5,0,0,0,0,5,0,10,0,0,0,0,10,5,0,0,5,5,5,0,0,65,370
1781,            American Sign Language,0,0,0,0,0,0,5,0,0,5,0,0,0,5,5,0,0,0,0,0,5,0,20,150
1782,            Quebec Sign Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1783,"            Sign languages, n.i.e",0,5,5,5,5,0,5,0,5,0,0,5,0,5,0,0,0,0,5,5,0,5,45,220
1784,          Sino-Tibetan languages,2495,2570,1995,780,1065,4230,4915,1985,3670,745,3545,680,2600,7100,1405,1030,540,1320,2640,5365,545,1035,52230,154525
1785,            Chinese languages,2495,2570,2000,775,1065,4225,4880,1980,3640,740,3540,680,2595,7055,1410,1035,540,1320,2620,5360,550,1035,52070,153715
1786,              Cantonese,760,875,495,320,870,3705,4200,590,2740,205,1715,410,1265,5455,965,265,275,1050,1980,4580,180,185,33060,71950
1787,              Hakka,0,0,5,5,0,15,15,5,5,0,10,5,5,45,5,0,0,0,10,10,0,0,135,395
1788,              Mandarin,1625,1445,1425,395,150,385,515,1300,755,505,1680,225,1200,1280,345,725,225,220,505,625,315,795,16625,74625
1789,              Min Dong,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,15,35
1790,"              Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",45,30,35,20,5,30,40,40,45,15,60,15,55,80,35,15,20,15,40,50,15,10,730,2540
1791,              Wu (Shanghainese),20,40,20,10,10,15,15,20,25,10,40,5,25,55,5,10,5,5,5,20,10,10,385,1350
1792,"              Chinese, n.o.s.",45,180,20,30,30,80,95,25,70,15,35,20,35,130,50,25,15,25,70,75,25,25,1110,2775
1793,"              Chinese languages, n.i.e.",0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,10,55
1794,            Tibeto-Burman languages,0,5,0,5,5,5,35,0,20,0,5,0,0,50,0,0,0,0,20,5,0,0,160,805
1795,              Burmese,0,0,0,0,0,10,30,0,20,0,5,5,0,40,0,0,0,0,15,0,0,0,120,335
1796,              Karenic languages,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
1797,              Tibetan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,75
1798,"              Tibeto-Burman languages, n.i.e.",0,0,0,0,0,0,10,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,25,45
1799,          Tai-Kadai languages,0,20,5,5,5,5,15,0,5,5,5,5,5,35,10,5,0,0,10,15,25,0,180,580
1800,            Lao,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,175
1801,            Thai,0,20,0,5,10,0,10,0,0,0,5,0,5,30,10,5,0,0,5,10,25,0,160,400
1802,"            Tai-Kadai languages, n.i.e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1803,          Turkic languages,5,45,5,20,5,5,0,5,10,15,0,10,0,10,10,0,0,0,0,0,50,5,200,745
1804,            Azerbaijani,5,10,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,5,0,20,90
1805,            Turkish,5,30,5,15,5,5,0,5,15,15,0,5,0,5,10,0,0,0,0,0,45,5,165,570
1806,            Uyghur,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45
1807,            Uzbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
1808,"            Turkic languages, n.i.e.",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
1809,          Uralic languages,5,15,10,20,0,5,10,0,15,25,25,10,0,5,0,0,5,0,0,35,10,0,210,1050
1810,            Estonian,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,45
1811,            Finnish,0,5,5,5,0,5,5,0,5,10,5,0,0,5,0,0,0,0,0,25,5,0,65,245
1812,            Hungarian,0,15,5,15,5,5,5,0,10,15,25,5,0,10,0,0,5,0,5,5,10,5,140,760
1813,"            Uralic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,"          Other languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,20,60
1815,    Multiple responses,515,1865,555,660,605,1415,2415,440,1470,750,1230,810,650,3200,700,285,215,190,2790,1770,1225,330,24070,98230
1816,      English and French,15,85,25,45,35,20,50,5,25,70,15,50,10,25,20,15,5,10,15,15,75,10,645,1775
1817,      English and non-official language,495,1730,520,595,560,1380,2335,435,1430,645,1190,745,625,3140,665,270,205,165,2755,1740,1110,315,23040,94855
1818,      French and non-official language,0,15,5,10,0,5,0,0,5,10,0,5,0,5,0,0,5,0,0,5,10,0,70,275
1819,"      English, French and non-official language",10,40,10,10,10,10,25,0,10,25,20,10,5,25,15,5,5,5,15,15,35,5,315,1325
,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,15135,60235,21335,33000,29025,34180,48965,13955,28925,42815,24075,32450,12930,51230,22365,8205,7675,11120,36350,30325,46915,13065,622635,2440145
1821,  None,11205,46495,17175,27735,24715,25795,36645,10660,20600,36400,17080,27260,8850,36095,17930,6285,6045,9625,24515,20900,37565,10520,478680,1919300
1822,  English,1960,4765,1750,1560,1230,3255,4975,1540,3695,1780,3255,1370,1970,6920,1485,815,555,425,5695,4240,2970,1055,57215,232050
1823,  French,105,665,255,515,510,310,560,115,200,845,150,540,50,240,385,80,120,160,220,135,750,200,7105,19620
1824,  Non-official language,1795,8050,2070,3080,2485,4695,6620,1590,4285,3625,3420,3185,1985,7770,2490,990,910,880,5760,4930,5405,1250,77120,260730
1825,    Aboriginal,0,60,60,5,90,25,15,0,5,0,5,35,0,10,0,0,0,40,5,5,15,5,315,800
1826,    Non-Aboriginal,1790,7990,2015,3070,2390,4675,6600,1590,4285,3625,3415,3150,1985,7760,2490,990,915,845,5755,4930,5395,1250,76800,259935
1827,  English and French,0,30,10,20,5,10,5,5,20,20,10,10,10,10,10,5,5,0,10,15,30,5,245,965
1828,  English and non-official language,50,120,35,35,30,70,100,25,80,45,120,35,40,145,40,25,20,5,120,80,75,15,1320,4890
1829,  French and non-official language,25,110,30,65,50,40,60,20,35,95,40,50,20,45,30,10,20,15,20,20,110,20,930,2495
1830,"  English, French and non-official language",0,5,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,5,5,0,20,80
1831,  Total - Other language(s) spoken regularly at home for males excluding institutional residents - 100% data,6870,31865,10325,14895,14180,16690,23865,6490,13770,20025,11720,15845,5975,24985,10705,3860,3630,6165,17840,14580,24565,6215,304235,1191675
1832,    None,5075,25180,8440,12615,12145,12655,18015,5020,9915,17215,8395,13540,4105,17825,8710,3025,2900,5355,12120,10070,19930,5075,236640,944770
1833,    English,910,2235,795,680,560,1600,2415,680,1710,800,1555,610,885,3280,705,375,245,235,2765,2060,1385,490,26935,112200
1834,    French,50,375,105,245,225,135,250,45,85,400,75,255,25,115,165,30,55,90,100,60,410,80,3370,8930
1835,    Non-official language,800,3945,950,1290,1215,2245,3110,725,1985,1550,1610,1395,930,3670,1090,415,405,470,2785,2335,2720,550,36100,121820
1836,      Aboriginal,0,30,30,5,35,20,5,0,0,5,0,15,5,0,0,0,0,20,0,5,5,0,150,370
1837,      Non-Aboriginal,805,3920,925,1290,1175,2225,3100,720,1990,1545,1605,1375,925,3665,1090,420,405,450,2780,2335,2715,550,35955,121450
1838,    English and French,0,10,5,5,0,5,5,0,10,5,5,5,10,5,5,0,5,0,10,10,10,0,105,435
1839,    English and non-official language,20,60,15,20,15,30,45,15,45,15,50,20,20,75,15,15,5,5,50,30,40,10,610,2285
1840,    French and non-official language,10,60,10,35,20,20,25,5,15,35,25,25,10,20,15,5,10,5,15,10,65,10,455,1195
1841,"    English, French and non-official language",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40
1842,  Total - Other language(s) spoken regularly at home for females excluding institutional residents - 100% data,8265,28375,11010,18110,14840,17490,25100,7470,15155,22790,12360,16610,6955,26245,11665,4350,4045,4955,18505,15745,22355,6855,318400,1248470
1843,    None,6130,21315,8735,15115,12570,13135,18625,5635,10680,19185,8680,13720,4745,18270,9220,3265,3145,4270,12395,10825,17635,5450,242040,974535
1844,    English,1050,2525,955,880,665,1660,2560,855,1985,985,1700,760,1090,3640,785,440,310,190,2935,2180,1580,565,30280,119855
1845,    French,55,295,150,270,285,170,310,70,115,445,75,280,30,125,220,50,65,70,115,75,340,120,3735,10690
1846,    Non-official language,990,4105,1120,1785,1265,2460,3515,870,2295,2080,1810,1795,1065,4100,1400,575,505,410,2980,2595,2690,700,41015,138915
1847,      Aboriginal,0,30,35,0,60,5,10,0,0,0,0,20,0,0,0,0,0,20,5,0,5,0,165,425
1848,      Non-Aboriginal,990,4070,1090,1785,1210,2450,3500,870,2290,2080,1810,1775,1060,4095,1405,575,505,390,2970,2595,2680,700,40850,138485
1849,    English and French,0,20,0,10,0,5,0,0,15,10,5,5,5,10,5,0,0,5,5,5,15,5,140,525
1850,    English and non-official language,30,60,20,15,15,40,55,15,35,30,70,15,20,70,20,10,15,0,70,50,40,5,710,2605
1851,    French and non-official language,15,50,15,30,25,20,30,10,20,55,15,25,5,20,10,5,5,10,10,10,50,10,475,1300
1852,"    English, French and non-official language",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40
,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Total - Persons not in census families in private households - 100% data,2820,24265,2940,12775,10805,7275,10700,2545,4475,15500,6470,12315,2580,11380,5030,1355,1790,4555,6440,4850,24080,2830,177510,462125
1854,  Total - Males not in census families in private households - 100% data,985,13575,1230,4965,5380,3450,5055,950,1795,6680,3130,5950,1000,5370,2200,535,735,2680,3050,2070,12620,1195,84475,214705
1855,  Total - Females not in census families in private households - 100% data,1835,10695,1705,7810,5425,3820,5645,1600,2680,8820,3335,6365,1575,6010,2830,820,1055,1870,3395,2775,11460,1635,93035,247415
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
25% Data Below,,,,,,,,,,,,,,,,,,,,,,,,,
1856,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,13055,54905,17785,30130,25915,29410,41795,12060,24675,38450,21385,29225,11450,45000,18960,6735,6510,8805,30685,26445,44755,11050,547845,2064615
1857,  Number of total income recipients aged 15 years and over in private households - 25% sample data,12185,53630,16685,29655,25435,28420,40440,11435,23590,37500,20535,28855,10850,43510,18405,6370,6280,8605,29090,25415,43975,10520,530100,1978880
1858,    Average total income in 2015 among recipients ($),62675,63251,78117,61627,42896,38258,38411,77248,39013,63092,39020,54260,46515,33360,53060,118668,65459,31534,34212,34298,47253,82042,50317,46821
1859,    Median total income in 2015 among recipients ($),30929,41858,40463,46940,32438,27255,28356,35064,29259,44084,26787,42362,26695,25476,37327,44392,42094,17631,25498,24758,36425,40304,32896,32575
1860,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,12180,53720,16715,29685,25465,28440,40485,11450,23630,37550,20545,28870,10860,43570,18420,6385,6295,8610,29150,25460,44025,10525,530765,1981625
1861,    Average after-tax income in 2015 among recipients ($),48943,49390,59021,49734,36036,32460,32767,57131,33358,49729,32812,44303,36965,28966,43171,84915,51272,27163,29593,29506,39059,63156,40787,38512
1862,    Median after-tax income in 2015 among recipients ($),27946,36918,35459,40815,28951,25163,26205,31259,26662,38721,24911,37236,24541,23802,33347,38516,37109,17504,23811,23283,32452,35078,29651,29391
1863,  Number of market income recipients aged 15 years and over in private households - 25% sample data,11300,47865,15640,28220,22410,24865,36025,10570,20775,35745,18405,26910,9655,38030,17000,6015,5900,5695,25500,22315,40335,9760,477830,1780855
1864,    Average market income in 2015 among recipients ($),62995,67870,79592,61142,44009,38305,38437,79395,39112,63015,39447,55244,47578,33309,53398,122112,66046,37199,34094,33720,47829,84169,51607,47281
1865,    Median market income in 2015 among recipients ($),29807,46486,39789,45829,34385,27335,28854,36081,29425,43519,27530,43215,27866,25774,37727,43733,40857,22803,25468,24230,36850,40023,33969,32583
1866,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,8620,31920,10910,17720,18055,21070,29480,8085,16950,23270,15025,17840,8130,32735,12260,4125,4090,7065,22015,19285,29405,7110,364195,1370125
1867,    Average government transfers in 2015 among recipients ($),6004,4491,5390,5750,5810,6397,5721,5437,6357,4882,5004,4422,5570,5642,5592,5165,5200,8392,5717,6186,5065,5847,5528,6169
1868,    Median government transfers in 2015 among recipients ($),1921,530,1514,1388,1678,2444,1724,1620,2768,748,992,589,1525,1558,1569,1445,1303,8416,1754,2154,544,1625,1443,2467
1869,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,7655,41300,11565,24270,20085,20740,31190,7320,17270,30730,14790,24970,6635,32250,14355,4325,4805,4795,21980,18190,35505,7240,401075,1487050
1870,    Average employment income in 2015 among recipients ($),57742,63864,71752,55009,43957,40266,39678,67053,40361,58058,40406,53389,43822,35022,51802,95943,58529,40091,35204,34887,46000,69136,49021,46081
1871,    Median employment income in 2015 among recipients ($),26755,46821,31071,44614,35070,30432,31124,30064,32268,41260,29804,42593,26413,28609,38198,35934,39841,26483,27552,26276,37224,30050,34468,33596
1872,  Total - Income statistics in 2015 for males aged 15 years and over in private households - 25% sample data,5790,28825,8520,13525,12540,14270,20260,5495,11490,17700,10255,14200,5190,21720,8925,3215,2980,4685,14855,12625,23525,5175,265110,998835
1873,    Number of total income recipients aged 15 years and over in private households - 25% sample data,5370,28340,7925,13330,12290,13840,19585,5190,10930,17220,9865,14030,4875,21030,8670,3035,2860,4590,14085,12100,23220,4895,256665,957440
1874,      Average total income in 2015 among recipients ($),83073,74738,97207,71075,46501,42461,42676,96603,43904,72653,42306,60100,53357,37413,60673,172746,76952,33190,38556,38075,52908,109517,58349,55848
1875,      Median total income in 2015 among recipients ($),35590,48196,49647,52891,33964,30468,31877,40578,34105,48959,28997,46060,30565,28735,41076,48056,46166,17518,28772,27427,39897,49438,36705,38845
1876,    Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,5370,28430,7940,13360,12320,13860,19630,5210,10975,17265,9885,14050,4890,21090,8690,3040,2875,4595,14140,12140,23260,4900,257295,959980
1877,      Average after-tax income in 2015 among recipients ($),62605,56702,70884,55874,38070,35202,35437,68972,36589,55283,35113,47875,41488,31682,48057,119891,58547,28280,32491,32061,42816,82126,45930,44592
1878,      Median after-tax income in 2015 among recipients ($),30509,41442,42430,45011,29715,27505,28306,35820,29842,41904,26171,39264,27511,25953,35734,42556,39434,17379,25984,25264,34706,41430,32212,34017
1879,    Number of market income recipients aged 15 years and over in private households - 25% sample data,4950,25155,7465,12640,10880,12385,17535,4820,9865,16405,8885,13105,4395,18885,8025,2825,2675,2935,12640,10785,21230,4520,232485,875330
1880,      Average market income in 2015 among recipients ($),86176,81349,99723,72019,48507,42932,43847,100276,44621,73490,43605,61745,55226,37786,62165,181659,79436,41390,39031,38193,54559,114675,60814,57128
1881,      Median market income in 2015 among recipients ($),35924,54254,47955,53368,36542,30882,33139,42781,34558,48843,30319,47576,33305,29220,42304,49218,48338,22379,29144,27462,41568,50583,38947,39597
1882,    Number of government transfers recipients aged 15 years and over in private households - 25% sample data,3275,15525,4410,7025,8065,9340,12735,3275,6950,9445,6625,7905,3285,14265,4890,1790,1565,3685,9465,8350,14605,2975,159020,581865
1883,      Average government transfers in 2015 among recipients ($),6036,4613,5780,5310,5424,5990,5253,5423,5725,4821,4508,4309,5232,5146,5565,5742,4788,8333,5239,5833,4815,5951,5268,5955
1884,      Median government transfers in 2015 among recipients ($),710,513,769,577,966,1032,824,756,1198,531,579,528,663,709,667,831,532,9006,650,1196,529,805,664,1240
1885,    Number of employment income recipients aged 15 years and over in private households - 25% sample data,3615,22175,5830,11140,9890,10585,15370,3640,8370,14320,7430,12205,3225,16385,6910,2200,2265,2475,11115,9045,18920,3490,200155,752855
1886,      Average employment income in 2015 among recipients ($),77435,75188,92082,64908,48122,44358,45168,83645,45820,68708,44420,59830,52112,39360,60040,135141,70456,44645,39758,39154,52194,95791,57313,55081
1887,      Median employment income in 2015 among recipients ($),30075,54360,40023,51386,37309,33480,35173,34318,37606,47147,31623,47408,31824,31564,42411,42598,46005,26877,31086,29298,41305,38744,39110,40094
1888,  Total - Income statistics in 2015 for females aged 15 years and over in private households - 25% sample data,7265,26080,9270,16605,13375,15140,21535,6570,13175,20750,11135,15020,6265,23280,10040,3515,3530,4120,15840,13820,21235,5875,282735,1065780
1889,    Number of total income recipients aged 15 years and over in private households - 25% sample data,6810,25290,8770,16320,13145,14585,20855,6245,12660,20280,10670,14825,5975,22480,9730,3340,3420,4010,15005,13315,20760,5625,273435,1021440
1890,      Average total income in 2015 among recipients ($),46593,50377,60871,53909,39525,34268,34406,61157,34791,54972,35980,48732,40933,29567,46280,69569,55845,29641,30136,30866,40927,58134,42777,38360
1891,      Median total income in 2015 among recipients ($),27698,36194,34117,42707,31112,24521,25963,31895,25772,41193,24897,39721,23798,22757,34986,40753,37246,17800,22693,22859,33141,36661,29935,27773
1892,    Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,6810,25285,8775,16325,13145,14580,20850,6245,12660,20290,10665,14825,5975,22480,9735,3340,3420,4015,15005,13320,20760,5625,273470,1021650
1893,      Average after-tax income in 2015 among recipients ($),38172,41169,48284,44708,34129,29855,30254,47261,30557,45003,30681,40919,33268,26419,38810,53116,45151,25883,26862,27176,34848,46627,35948,32798
1894,      Median after-tax income in 2015 among recipients ($),25425,32338,30594,38043,28200,23319,24677,28857,24359,36530,23576,35399,22335,21948,31879,36046,33469,17721,21885,21976,29898,31704,27521,25843
1895,    Number of market income recipients aged 15 years and over in private households - 25% sample data,6350,22710,8175,15580,11530,12485,18485,5750,10910,19335,9520,13805,5255,19150,8975,3190,3225,2760,12860,11525,19105,5240,245345,905525
1896,      Average market income in 2015 among recipients ($),44938,52939,61208,52319,39763,33714,33306,61874,34133,54128,35564,49074,41179,28894,45566,69359,54936,32740,29238,29534,40351,57854,42883,37762
1897,      Median market income in 2015 among recipients ($),25212,39529,33798,40535,32411,24389,25069,31262,25042,39825,24611,40255,23776,22707,33622,40476,35796,22855,21827,21447,31902,34820,30056,26860
1898,    Number of government transfers recipients aged 15 years and over in private households - 25% sample data,5340,16395,6500,10695,9990,11725,16745,4805,10005,13830,8395,9940,4845,18470,7370,2335,2520,3380,12555,10930,14795,4135,205175,788260
1899,      Average government transfers in 2015 among recipients ($),5984,4375,5125,6039,6122,6721,6077,5446,6795,4924,5395,4511,5798,6026,5610,4722,5457,8455,6078,6455,5311,5772,5730,6327
1900,      Median government transfers in 2015 among recipients ($),2644,571,2057,1926,2161,3745,2766,2175,3847,1272,1753,818,2336,2616,2174,1751,1783,7810,3186,3499,735,2147,2000,3354
1901,    Number of employment income recipients aged 15 years and over in private households - 25% sample data,4040,19125,5735,13125,10190,10160,15820,3680,8895,16415,7360,12765,3410,15865,7445,2130,2545,2320,10870,9140,16585,3745,200915,734200
1902,      Average employment income in 2015 among recipients ($),40126,50731,51073,46607,39914,36002,34346,50646,35225,48765,36356,47231,35980,30541,44154,55460,47920,35240,30547,30665,38934,44326,40762,36854
1903,      Median employment income in 2015 among recipients ($),23779,40019,26717,39162,32903,27922,27551,27757,27872,36778,27616,39452,21911,25811,33923,30078,35863,26089,24671,23994,32040,24160,30492,28244
,,,,,,,,,,,,,,,,,,,,,,,,,
1904,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 25% sample data,13060,54905,17790,30125,25915,29410,41795,12065,24675,38450,21385,29225,11450,45000,18960,6735,6505,8805,30690,26440,44755,11050,547845,2064615
1905,  Without total income,875,1280,1100,475,475,985,1360,630,1085,950,855,370,605,1490,560,360,230,205,1595,1025,780,530,17745,85740
1906,  With total income,12180,53630,16690,29655,25435,28420,40440,11435,23590,37500,20535,28855,10855,43510,18400,6370,6280,8605,29090,25415,43980,10520,530100,1978880
1907,"    Under $10,000 (including loss)",2790,8785,3320,3185,3300,4575,6595,2285,4160,4960,4555,3115,2510,8455,2705,1190,920,1530,5155,4840,5920,2020,86590,338730
1908,"    $10,000 to $19,999",1820,8050,2140,3495,5305,6315,8580,1650,4700,4945,3735,4195,2085,9545,2860,665,815,3430,6800,5720,7225,1370,95255,346355
1909,"    $20,000 to $29,999",1365,4830,1615,3110,3420,4390,5885,1295,3165,3875,2720,3335,1200,6620,2260,650,750,1080,4585,3940,5685,985,66640,248170
1910,"    $30,000 to $39,999",1110,4325,1205,2955,2945,3185,4820,865,2570,3435,2190,3015,970,5310,1870,475,565,575,3600,3085,4925,845,54720,210570
1911,"    $40,000 to $49,999",860,4270,1130,3030,2590,2580,3865,795,2225,3510,1860,3100,835,4270,1760,490,495,435,2850,2360,4860,785,48860,188140
1912,"    $50,000 to $59,999",700,3700,1025,2630,1955,1895,2915,680,1735,3110,1520,2620,655,2850,1310,380,450,385,1820,1615,3825,690,38355,149530
1913,"    $60,000 to $69,999",620,3530,820,2370,1545,1465,1965,670,1320,2410,1090,2145,435,2075,1075,350,400,200,1240,1065,2945,500,30150,115955
1914,"    $70,000 to $79,999",470,3115,705,1980,1170,1155,1490,460,950,2160,690,1745,420,1355,930,270,385,210,780,780,2385,555,24120,89390
1915,"    $80,000 to $89,999",415,2495,635,1625,850,730,1245,370,910,1805,500,1340,330,960,785,285,315,210,670,640,1660,450,19175,71045
1916,"    $90,000 to $99,999",320,1940,575,1165,610,620,840,315,520,1355,405,930,285,655,595,120,200,115,505,410,1100,255,13815,50770
1917,"    $100,000 and over",1720,8590,3515,4105,1745,1505,2245,2050,1320,5940,1255,3305,1130,1420,2255,1495,980,430,1085,970,3440,2075,52425,170225
1918,"      $100,000 to $149,999",855,5180,1555,2590,1260,1065,1620,920,980,3490,785,2185,630,1100,1320,580,530,290,835,675,2325,910,31570,109705
1919,"      $150,000 and over",870,3405,1965,1520,485,440,620,1130,345,2450,465,1120,505,320,935,915,450,140,250,295,1115,1165,20855,60525
,,,,,,,,,,,,,,,,,,,,,,,,,
1920,Percentage with total income,93.3,97.7,93.8,98.4,98.2,96.7,96.7,94.8,95.6,97.5,96,98.7,94.8,96.7,97,94.7,96.5,97.7,94.8,96.1,98.3,95.2,96.8,95.8
1921,  Total - Total income groups in 2015 for males aged 15 years and over in private households - 25% sample data,5790,28825,8515,13520,12540,14270,20265,5495,11495,17705,10255,14205,5185,21720,8930,3215,2980,4685,14850,12625,23525,5180,265110,998835
1922,    Without total income,420,485,595,190,250,430,675,305,565,485,390,170,315,685,260,185,120,100,765,520,305,285,8450,41395
1923,    With total income,5370,28340,7920,13330,12290,13845,19585,5190,10930,17220,9865,14030,4875,21030,8670,3030,2860,4590,14085,12100,23220,4890,256660,957440
1924,"      Under $10,000 (including loss)",1160,4110,1480,1315,1655,2170,3140,925,1855,2310,2005,1390,1090,3840,1225,540,410,905,2255,2150,2860,910,39545,144750
1925,"      $10,000 to $19,999",705,4000,895,1405,2435,2610,3805,730,1875,2055,1765,1945,850,4080,1210,295,310,1840,2900,2415,3700,575,42320,144315
1926,"      $20,000 to $29,999",565,2310,645,1175,1550,2080,2475,550,1320,1555,1310,1515,470,2960,1025,305,335,540,2150,1870,2650,380,29675,105785
1927,"      $30,000 to $39,999",455,2065,460,1230,1280,1550,2175,365,1100,1390,1005,1355,370,2430,795,200,230,255,1705,1395,2435,305,24495,94390
1928,"      $40,000 to $49,999",340,2015,495,1215,1235,1235,1875,295,1050,1465,820,1365,370,2100,750,205,220,180,1300,1140,2440,295,22350,87130
1929,"      $50,000 to $59,999",335,1935,475,1100,880,1000,1575,300,860,1345,775,1285,300,1470,575,150,175,195,1050,850,2000,300,18880,75170
1930,"      $60,000 to $69,999",270,1900,365,1130,765,795,1095,305,745,1050,590,995,245,1300,540,160,180,95,770,575,1615,195,15640,63950
1931,"      $70,000 to $79,999",210,1645,350,890,635,640,795,225,515,990,335,900,185,820,460,115,175,90,480,460,1355,255,12500,51140
